Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,Baker Nissan North,19630 Northwest Fwy,,Houston,TX,77065,,281-890-5656,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,29.913418,-95.611942,2018-07-09,39726,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Central Houston Nissan,2901 S Loop W,,Houston,TX,77054,,713-661-9955,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,29.676558,-95.422537,2018-07-09,39727,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,McDavid Nissan,11911 Gulf Fwy,,Houston,TX,77034,,713-941-0600,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,29.625565,-95.22531,2018-07-09,39728,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Tom Peacock Nissan,15300 North Fwy,,Houston,TX,77090,,855-969-1871,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,29.990205,-95.423096,2018-07-09,39730,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,AutoNation Nissan - Lewisville,1601 S Stemmons Fwy,,Lewisville,TX,75067,,972-420-9500,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,33.022937,-96.988337,2018-07-09,39738,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Nissan of McKinney,3800 S Central Expy,,McKinney,TX,75069,,214-544-4900,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,33.161606,-96.644662,2018-07-09,39741,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Courtesy Nissan,1777 N Central Expy,,Richardson,TX,75080,,972-231-2600,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,32.971458,-96.719522,2019-03-07,39746,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Sterling McCall Nissan,12230 Southwest Fwy,,Stafford,TX,77477,,281-243-8600,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,29.645808000000002,-95.57611999999999,2018-07-09,39756,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Garlyn Shelton Nissan,5420 Midway Dr,,Temple,TX,76502,,254-773-4828,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,31.079653000000004,-97.410328,2018-07-09,39757,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Passport Nissan - Alexandria,150 S Pickett St,,Alexandria,VA,22304,,703-823-9000,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1,,Non-Networked,,200-9,38.809675,-77.122192,2018-07-09,39763,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Priority Nissan - Chantilly,14840 Stonecroft Center Ct,,Chantilly,VA,20151,,703-889-3700,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,38.899751,-77.46016800000001,2019-02-06,39764,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Colonial Nissan,200 Myers Dr,,Charlottesville,VA,22901,,434-978-3711,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,GPS,38.086121,-78.474663,2018-07-09,39765,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Pomoco Nissan - Hampton,1134 W Mercury Blvd,,Hampton,VA,23666,,757-838-6111,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,37.042363,-76.388316,2019-02-06,39768,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Sheehy Nissan - Manassas,9010 Liberia Ave,,Manassas,VA,20110,,703-361-5161,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,38.760853999999995,-77.459274,2019-02-06,39769,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,First Team Nissan,6520 Peters Creek Rd,,Roanoke,VA,24019,,540-362-4800,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-8,37.344832000000004,-79.961768,2019-02-06,39772,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Brown's Dulles Nissan,45155 Towlern Pl,,Sterling,VA,20166,,703-948-1100,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,2,,Non-Networked,,200-9,39.010459000000004,-77.438399,2019-02-06,39773,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Tri-State Nissan,1230 Millwood Pike,,Winchester,VA,22602,,540-667-6800,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1,,Non-Networked,,200-9,39.156746000000005,-78.1474,2019-03-07,39775,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Bellingham Nissan,1516 Iowa St,,Bellingham,WA,98229,,360-733-7300,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,48.755607,-122.454132,2019-04-08,39778,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,47.458465999999994,-122.333257,2018-07-09,39780,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Dan Wilder Nissan,53 Jetta Way,,Port Angeles,WA,98362,,360-452-9268,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,48.102863,-123.34227299999999,2019-03-07,39788,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,47.207367,-122.294997,2018-07-09,39789,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,425-251-8100,E,,Public,Dealership business hours,,,,,,1.0,1,,Non-Networked,,GPS,47.448281,-122.21928600000001,2018-07-09,39791,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,,509-924-6242,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,47.657264,-117.312518,2019-03-07,39796,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Mountain View Nissan,2100 S Market St,,Chattanooga,TN,37408,,423-756-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,35.030251,-85.308376,2018-07-09,39802,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Harold Mathews Nissan,185 Highway 76,,Clarksville,TN,37043,,931-552-7555,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,36.513006,-87.26866700000001,2018-07-09,39803,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Nissan of Cool Springs,212 Comtide Ct,,Franklin,TN,37067,,615-790-2500,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-8,35.957857000000004,-86.80853,2018-07-09,39808,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Newton Nissan of Gallatin,1461 Nashville Pike,,Gallatin,TN,37066,,615-451-6827,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,36.361376,-86.49493199999999,2018-07-09,39809,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Nissan of Murfreesboro,814 Memorial Blvd,,Murfreesboro,TN,37129,,615-893-0252,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,35.854156,-86.394979,2018-07-09,39821,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Action Nissan,307 Thompson Ln,,Nashville,TN,37211,,615-834-8244,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,36.110606,-86.743585,2018-07-09,39822,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Downtown Nashville Nissan,25 Vantage Way,,Nashville,TN,37228,,615-248-5100,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-8,36.191596000000004,-86.794023,2018-07-09,39823,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Smolich Nissan,1835 NE Highway 20,,Bend,OR,97701,,541-389-1177,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-8,44.055832,-121.27745700000001,2019-03-07,39828,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Ray Schultens Nissan,2400 W 6th St,,The Dalles,OR,97058,,541-296-4613,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,45.614308,-121.210078,2019-03-07,39840,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Dick Smith Nissan,3670 Fernandina Rd,,Columbia,SC,29210,,803-772-8700,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,34.055164000000005,-81.128164,2019-03-07,39842,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Dick Smith Nissan,5536 Sunset Blvd,,Lexington,SC,29072,,803-957-7760,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,33.997902,-81.222504,2018-07-09,39844,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Wolfchase Nissan,2956 N Germantown Rd,,Bartlett,TN,38133,,901-255-3800,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,35.205818,-89.791337,2018-07-09,39846,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Benton Nissan - Hoover,1640 Montgomery Hwy,,Birmingham,AL,35216,,205-979-5420,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,33.394903,-86.807186,2019-08-08,39849,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Lynn Layton Cad-Nissan,2402 Highway 31 S,,Decatur,AL,35601,,256-353-8150,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,34.563857,-86.972193,2019-08-08,39851,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Jack Ingram Motors,227 Eastern Bypass,,Montgomery,AL,36117,,334-277-5700,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,GPS,32.377023134253,-86.20853537962341,2019-03-07,39852,2019-05-14 21:16:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,AutoNation Nissan - Chandler,1350 S Gilbert Rd,,Chandler,AZ,85286,,480-461-4300,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,33.289054,-111.78968200000001,2019-08-08,39854,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Larry H Miller Nissan - Mesa,2025 W Riverview Auto Dr,,Mesa,AZ,85201,,480-655-4000,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,33.434953,-111.87131000000001,2019-08-08,39857,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,ABC Nissan,1300 E Camelback Rd,,Phoenix,AZ,85014,,602-264-2332,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,33.509478,-112.054694,2019-08-08,39859,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Pinnacle Nissan,7601 E Frank Lloyd Wright Blvd,,Scottsdale,AZ,85260,,480-998-9800,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1,,Non-Networked,,200-9,33.635224,-111.91573899999999,2019-08-08,39862,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Jim Click Nissan,800 W Auto Mall Dr,,Tucson,AZ,85705,,520-884-4100,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,32.290005,-110.98531499999999,2019-03-07,39864,2019-08-19 21:19:45 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Nissan of Bakersfield,2800 Pacheco Rd,,Bakersfield,CA,93313,,661-835-8600,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,35.310722999999996,-119.035324,2019-08-08,39871,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Palm Springs Nissan,68177 Kyle Rd,,Cathedral City,CA,92234,,760-328-2828,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,GPS,33.78414,-116.471,2019-08-08,39874,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Puente Hills Nissan,17320 E Gale Ave,,City of Industry,CA,91748,,626-626-2600,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,33.997596,-117.92779499999999,2019-08-08,39877,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Nissan of Serramonte,1500 Collins Ave,,Colma,CA,94014,,650-550-7200,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-8,37.671267,-122.46354099999999,2019-08-08,39879,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Larry H Miller Nissan,2575 Wardlow Rd,,Corona,CA,92882,,951-735-3360,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1,,Non-Networked,,200-9,33.88309,-117.615292,2019-08-08,39881,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Hanlees Nissan,5009 Chiles Rd,,Davis,CA,95618,,530-231-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1,,Non-Networked,,200-9,38.55252,-121.69155500000001,2019-08-08,39883,2019-08-08 15:38:00 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
